symbol,as_of,source_published_at,retrieved_at,currency,market_cap,enterprise_value,ttm_revenue,revenue_growth_yoy,gross_margin_ttm,operating_margin_ttm,net_income_ttm,cash_and_equivalents,total_debt,shares_outstanding,price_to_sales,enterprise_value_to_sales,pe_ratio,source,notes
AAOI,2026-08-24,2026-08-21,2026-08-25T04:05:35.116Z,USD,9102186746.03,8731591746.03,595970000.00,61.8459,28.9159,-11.3105,-57020000.00,499737000.00,129142000.00,84569237,15.2729,14.6511,,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price.
ALAB,2026-08-24,2026-08-05,2026-08-25T04:05:35.116Z,USD,48147320701.35,48035867701.35,1201919000.00,98.4842,75.1294,22.7507,369494000.00,111453000.00,,173485104,40.0587,39.9660,130.3061,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price.
ASPI,2026-08-24,2026-08-14,2026-08-25T04:05:35.116Z,USD,596373504.28,436546504.28,30852000.00,573.4264,18.3197,-321.1137,-117339000.00,219596000.00,59769000.00,153309380,19.3301,14.1497,,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price.
ASTS,2026-08-24,2026-08-10,2026-08-25T04:05:35.116Z,USD,18646494169.37,16362875169.37,115299000.00,2256.8888,0.0000,-2.0592,-618761000.00,2288253000.00,4634000.00,299061662,161.7229,141.9169,,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price; newer basic weighted-average shares replace a stale instant share-count tag.
BE,2026-08-24,2026-04-29,2026-08-25T04:05:35.116Z,USD,58032239164.64,58143441164.64,2449027000.00,56.5295,29.5724,6.6991,9965000.00,2491433000.00,2602635000.00,284443868,23.6960,23.7414,5823.6065,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price.
CBRS,2026-08-24,2026-08-12,2026-08-25T04:05:35.116Z,USD,27993995134.28,22170082134.28,576350000.00,457.8192,32.1745,-100.2728,-178889000.00,6742157000.00,918244000.00,150968000,48.5712,38.4664,,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price; newer basic weighted-average shares replace a stale instant share-count tag.
CIFR,2026-08-24,2026-08-04,2026-08-25T04:05:35.116Z,USD,6374871747.43,10989908747.43,191093000.00,20.2985,,-278.0515,-1119333000.00,831829000.00,5446866000.00,415030722,33.3600,57.5108,,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price.
CRCL,2026-08-24,2026-08-05,2026-08-25T04:05:35.116Z,USD,21770613062.96,20040487062.96,2905439000.00,73.3294,,7.4195,451251000.00,1730126000.00,,248183000,7.4931,6.8976,48.2450,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price; newer basic weighted-average shares replace a stale instant share-count tag.
CRDO,2026-08-24,2026-06-15,2026-08-25T04:05:35.116Z,USD,41511844987.60,40346892987.60,1335116000.00,205.6759,68.0352,33.3308,472279000.00,1164952000.00,,186477898,31.0923,30.2198,87.8969,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price.
CRWV,2026-08-24,2026-08-12,2026-08-25T04:05:35.116Z,USD,47523750000.00,66858750000.00,7590000000.00,115.3225,,-3.0435,-1929000000.00,5524000000.00,24859000000.00,551000000,6.2614,8.8088,,SEC EDGAR companyfacts,SEC-derived fundamentals combined with latest committed close price; newer basic weighted-average shares replace a stale instant share-count tag.
