symbol,as_of,close,one_day_return_pct,one_month_return_pct,three_month_return_pct,ytd_return_pct,one_year_return_pct,fifty_two_week_high,fifty_two_week_low,position_in_52w_range_pct,sma_50,sma_200,rsi_14,volume,average_volume_30d,source,retrieved_at,notes
AAOI,2026-08-19,122.1900,-7.0162,19.3145,-28.6815,250.5164,367.6234,233.6700,18.5000,48.1898,130.5816,96.4919,61.9755,12261100,11500153,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
ALAB,2026-08-19,289.0200,-4.7522,-4.8086,18.3247,73.7317,55.0287,499.4760,97.8900,47.5938,352.8611,217.8105,47.1575,4218400,4572020,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
ASPI,2026-08-19,4.0900,5.9586,5.5484,-15.4959,-23.5514,-55.9978,14.4900,3.5100,5.2823,5.0290,5.8175,53.0726,2841400,3703403,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
ASTS,2026-08-19,66.4300,-0.9542,14.9308,-24.5970,-8.5364,37.9360,133.8600,36.0800,31.0391,71.3832,81.7426,60.9964,7312500,14134810,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
BE,2026-08-19,206.6300,-1.1387,-3.8751,-20.9344,137.8064,344.3656,351.2800,40.5600,53.4468,244.0298,185.9275,49.7870,10276200,15784890,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
CBRS,2026-08-19,215.6900,-1.9635,24.7773,-28.9629,-30.6619,-30.6619,386.3400,160.8100,24.3338,209.4140,,52.9795,10967900,6805543,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
CIFR,2026-08-19,15.8900,-1.2737,-9.5102,-15.4787,7.6558,162.6446,30.1400,5.2900,42.6559,21.7183,18.5646,30.4310,44187300,32394753,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
CRCL,2026-08-19,78.5900,9.5636,29.9868,-29.2173,-0.8953,-44.4908,159.4700,49.9000,26.1842,69.2446,85.6055,70.2626,23028300,12656503,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
CRDO,2026-08-19,234.8200,-4.5331,15.8575,38.9550,63.1941,97.7598,308.6700,86.4850,66.7619,241.7266,172.4035,58.7523,4888400,5405927,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
CRWV,2026-08-19,90.8700,-2.4686,24.1224,-8.9570,26.8957,-6.1260,153.2000,60.5500,32.7253,90.2448,92.3662,61.3847,26578500,30246943,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
ENRD,2026-08-19,6.0400,5.4101,20.8000,-59.7065,-59.7065,-59.7065,34.0000,4.6600,4.7035,,,69.4079,327500,204290,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
ETN,2026-08-19,424.6700,-1.5441,6.1702,14.1954,33.3302,20.1330,478.0000,311.9200,67.8890,414.9444,378.6721,65.2857,1748600,2246463,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
FLY,2026-08-19,25.3000,-3.2135,31.2922,-40.5685,13.0979,-47.9638,62.1700,16.0000,20.1429,25.4425,27.4715,71.1392,2273200,3319447,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
FN,2026-08-19,454.5500,-5.8103,-4.9834,-32.9325,-0.1603,38.9551,748.8900,272.4900,38.2158,533.2104,536.8485,54.6623,1644700,916750,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
GILT,2026-08-19,10.8100,-0.6434,-2.9623,-27.9333,-16.4606,24.2529,20.9300,8.5200,18.4529,12.1794,14.7668,54.6667,551500,578710,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
