symbol,cik,exchange,filing_type,sec_form,source_url,source_published_at,retrieved_at,filing_path,section_start,section_end,accession_or_document_id,accession_number,primary_document,sec_form_original,acceptance_datetime,report_date,sec_submission_url,filing_selection_policy,filing_selection_tier,filing_selection_family,selection_reason,selected_sec_form_base,newer_supported_filing_displaced_count,newer_supported_filing_forms,lower_tier_newer_filing_forms,foundational_candidate_count,business_prospectus_424b_candidate_count,supplement_424b_candidate_count,unknown_424b_candidate_count,selection_warnings
AAOI,0001158114,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1158114/000143774926005875/aaoi20251231_10k.htm,2026-02-26,2026-08-22,,,,0001437749-26-005875/aaoi20251231_10k.htm,0001437749-26-005875,aaoi20251231_10k.htm,10-K,2026-02-26T21:24:24.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001158114.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,10-K,4,424B5,424B5,11,0,19,0,newer_supported_filing_displaced_by_policy
ALAB,0001736297,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1736297/000173629726000010/alab-20251231.htm,2026-02-20,2026-08-22,,,,0001736297-26-000010/alab-20251231.htm,0001736297-26-000010,alab-20251231.htm,10-K,2026-02-20T22:26:05.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001736297.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,10-K,0,,,6,1,0,0,
ALMU,0001828805,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1828805/000121390025086227/ea0256331-10k_aelumainc.htm,2025-09-09,2026-08-22,,,,0001213900-25-086227/ea0256331-10k_aelumainc.htm,0001213900-25-086227,ea0256331-10k_aelumainc.htm,10-K,2025-09-09T21:01:15.000Z,2025-06-30,https://data.sec.gov/submissions/CIK0001828805.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,10-K,7,424B3;424B5,424B3;424B5,17,25,4,0,newer_supported_filing_displaced_by_policy
ALOY,0001567900,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1567900/000143774926005114/blkbx20251231_10k.htm,2026-02-23,2026-08-22,,,,0001437749-26-005114/blkbx20251231_10k.htm,0001437749-26-005114,blkbx20251231_10k.htm,10-K,2026-02-23T21:32:24.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001567900.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,10-K,3,424B5,424B5,15,2,4,0,newer_supported_filing_displaced_by_policy
APLD,0001144879,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1144879/000114487926000048/apld-20260531.htm,2026-07-29,2026-08-22,,,,0001144879-26-000048/apld-20260531.htm,0001144879-26-000048,apld-20260531.htm,10-K,2026-07-29T20:07:28.000Z,2026-05-31,https://data.sec.gov/submissions/CIK0001144879.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,10-K,0,,,34,21,6,1,unknown_or_late_424b_candidates_present
ASPI,0001921865,Nasdaq,10-K,10-K/A,https://www.sec.gov/Archives/edgar/data/1921865/000119312526197329/aspi-20251231.htm,2026-04-30,2026-08-22,,,,0001193125-26-197329/aspi-20251231.htm,0001193125-26-197329,aspi-20251231.htm,10-K/A,2026-04-30T20:15:26.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001921865.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,10-K,0,,,16,3,11,0,
ASTS,0001780312,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1780312/000178031226000006/asts-20251231.htm,2026-03-02,2026-08-22,,,,0001780312-26-000006/asts-20251231.htm,0001780312-26-000006,asts-20251231.htm,10-K,2026-03-02T21:39:58.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001780312.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,10-K,0,,,17,34,23,0,
AXTI,0001051627,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1051627/000143774926008612/axti20251231_10k.htm,2026-03-17,2026-08-22,,,,0001437749-26-008612/axti20251231_10k.htm,0001437749-26-008612,axti20251231_10k.htm,10-K,2026-03-17T20:32:12.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001051627.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,10-K,2,424B5,424B5,27,0,8,0,newer_supported_filing_displaced_by_policy
BE,0001664703,NYSE,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1664703/000162828026006516/be-20251231.htm,2026-02-09,2026-08-22,,,,0001628280-26-006516/be-20251231.htm,0001628280-26-006516,be-20251231.htm,10-K,2026-02-09T22:16:15.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001664703.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,10-K,1,424B7,424B7,8,0,4,0,newer_supported_filing_displaced_by_policy
BRUN,0002090646,Nasdaq,S-1,S-1,https://www.sec.gov/Archives/edgar/data/2090646/000149315226031923/forms-1.htm,2026-07-02,2026-08-22,,,,0001493152-26-031923/forms-1.htm,0001493152-26-031923,forms-1.htm,S-1,2026-07-02T20:31:19.000Z,,https://data.sec.gov/submissions/CIK0002090646.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,S-1,2,424B3;424B5,424B3;424B5,1,3,1,0,newer_supported_filing_displaced_by_policy
